Old Node	Deprecated property	New Node	New Property		
diagnosis	days_to_death	demographic	days_to_death		
diagnosis	cause_of_death	demographic	cause_of_death		
diagnosis	hiv_positive	followup	hiv_positive		
diagnosis	ldh_normal_range_upper	followup	ldh_normal_range_upper		
diagnosis	progression_or_recurrence	followup	progression_or_recurrence		
diagnosis	days_to_recurrence	followup	days_to_recurrence		
diagnosis	days_to_last_follow_up	followup	days_to_last_follow_up		
diagnosis	ldh_level_at_diagnosis	followup	ldh_level		
diagnosis	vital_status	demographic	vital_status		
diagnosis	days_to_birth	demographic	days_to_birth		
diagnosis	days_to_last_known_disease_status	NA (to be deleted)	NA (to be deleted)		
diagnosis	days_to_new_event	NA (to be deleted)	NA (to be deleted)		
exposure	height	followup	height		
exposure	weight	followup	weight		
exposure	bmi	followup	bmi		
exposure	cigarettes_per_day	NA (to be deleted)	NA (to be deleted)		
demographic	year_of_birth	NA (to be deleted)	NA (to be deleted)		
demographic	year_of_death	NA (to be deleted)	NA (to be deleted)		
project	disease_type	case	disease_type		
project	primary_site	case	primary_site		
