id	file_name	file_size	md5sum	case.submitter_id
578e63fe-1d86-4311-978e-24327e96e156	0c2673ac-0672-4841-b8c4-71fe453149b6.rna_seq.chimeric.gdc_realn.bam	148539489	497148897dc81d05c6e5983b2b838776	C3L-07037
d3c7b9b1-fca0-4324-a0ee-dcc265da89ad	0c2673ac-0672-4841-b8c4-71fe453149b6.rna_seq.genomic.gdc_realn.bam	9669771486	7e6c8fe75b8ecf672785e64bed6f6ce0	C3L-07037
25a8cac8-1953-4a17-9344-a2f680cfe5ea	0c2673ac-0672-4841-b8c4-71fe453149b6.rna_seq.star_gene_counts.tsv.gz	420625	7149de73b61e6ad12981a08ce13cab82	C3L-07037
4293d821-2e6b-4920-9dcc-4225fb2727e4	0c2673ac-0672-4841-b8c4-71fe453149b6.rna_seq.star_splice_junctions.tsv.gz	3085884	b7cfdee5feef8806e973455af0d32e5d	C3L-07037
04fe28c3-7897-446f-9268-abf90e3fe3c0	0c2673ac-0672-4841-b8c4-71fe453149b6.rna_seq.transcriptome.gdc_realn.bam	9423577591	3fb99dc7c8affa0b0710c13772102095	C3L-07037
0b71dd7c-3616-414a-a378-065a6e3b9a26	210dfc8a-9ab8-4dc8-8002-939823690011.rna_seq.chimeric.gdc_realn.bam	50238801	1e32c733c3c90da5cbe83f7c8214b7b8	C3L-07034
02c03a17-d4a0-4e7e-a7cc-b036247b3d3b	210dfc8a-9ab8-4dc8-8002-939823690011.rna_seq.genomic.gdc_realn.bam	7963264496	e66fc7947a6bfa0fea9bc140832de1a2	C3L-07034
4f5f9f02-6e86-44fa-b202-0e7acf560e80	210dfc8a-9ab8-4dc8-8002-939823690011.rna_seq.star_gene_counts.tsv.gz	400559	a8875cd52668160cf3bcaa9e4a4e0d94	C3L-07034
30d6150e-224c-45eb-ac12-bd0132726114	210dfc8a-9ab8-4dc8-8002-939823690011.rna_seq.star_splice_junctions.tsv.gz	2630123	3c8fa945fa679a4f311c0c151b301a0c	C3L-07034
f3cefeae-ab58-446f-a50f-f191963bcf38	210dfc8a-9ab8-4dc8-8002-939823690011.rna_seq.transcriptome.gdc_realn.bam	8288989317	82a8dae88b6d1188d6bd88640ec0f0f1	C3L-07034
2ccacfee-208e-4aca-b17d-ace68b8e2032	36e96206-6f09-4d10-890f-227feedd305e.FPKM-UQ.txt.gz	433691	2d7fce5e0a4252344ffea09fd31ba4dd	C3L-07032
0b145cb0-1ed8-4e04-b260-22ba20bf35ec	36e96206-6f09-4d10-890f-227feedd305e.FPKM.txt.gz	325787	bf4309a9389999372281c082e30cbb09	C3L-07032
266aee11-d103-4e2a-832e-a53599ee305e	36e96206-6f09-4d10-890f-227feedd305e.htseq_counts.txt.gz	254753	80e51ff984eb152904fc3cad70ad4936	C3L-07032
21fd222d-06d4-4730-a767-a3c13f99a321	3b8f9519-dd16-4837-a7c2-da55809a9836.FPKM-UQ.txt.gz	437428	36f471c6e8cb54fcc8d7e8f129f98591	C3L-07035
327c06ed-4a0e-499b-8396-5b868fbbd653	3b8f9519-dd16-4837-a7c2-da55809a9836.FPKM.txt.gz	329629	f3686829b693ceaf1b30a20de09eb70f	C3L-07035
8b11aadb-b118-4ec9-8996-464eb5f9dc0b	3b8f9519-dd16-4837-a7c2-da55809a9836.htseq_counts.txt.gz	256062	f958a22e029a6728f8accaa86e74ea7c	C3L-07035
cbd25d77-ff4d-41e2-b7c1-c7e69ea1a3ca	425fc7d2-4577-4d39-800d-79ef56034a5a.FPKM-UQ.txt.gz	447433	28ef94e8bd47471b69e6600b4e406dc0	C3L-03513
ce360072-ec4b-40f7-a9b2-84b29c2e4f2b	425fc7d2-4577-4d39-800d-79ef56034a5a.FPKM.txt.gz	339993	ad03fd408e8b59dee471fdc21fb668d3	C3L-03513
355669ca-2d77-4ae7-b851-58bfa30919f5	425fc7d2-4577-4d39-800d-79ef56034a5a.htseq_counts.txt.gz	260851	c81924a52f7d8ab3d0909b7e40e4309c	C3L-03513
10fd571c-1a46-4fa6-93fd-72e3d145af8f	53ee9ccb-3048-4123-9b1a-6f286e2ee069.rna_seq.chimeric.gdc_realn.bam	63101475	1d3bff362c80a0ab10c05f5a9644eb9f	C3L-07032
3ebd283a-7cf2-44af-a41f-7f7960818c95	53ee9ccb-3048-4123-9b1a-6f286e2ee069.rna_seq.genomic.gdc_realn.bam	9496427474	ffb5add6a7a217aa1bd4a7beb517bee9	C3L-07032
f3d72777-02e2-44f2-8ff8-05800bb49285	53ee9ccb-3048-4123-9b1a-6f286e2ee069.rna_seq.star_gene_counts.tsv.gz	410833	8c043a7fa571748cce7029ab03b9a4aa	C3L-07032
2751c0c0-df8f-41d5-bafe-6141793374bb	53ee9ccb-3048-4123-9b1a-6f286e2ee069.rna_seq.star_splice_junctions.tsv.gz	2792064	f93235d02d9cfd4e16cbaf50cc724a3c	C3L-07032
f5add029-957c-4b0b-8fdf-d616e81eb5d8	53ee9ccb-3048-4123-9b1a-6f286e2ee069.rna_seq.transcriptome.gdc_realn.bam	11805312153	b99cb1fb9ca354c76b41ed6ddf21c591	C3L-07032
a402f516-0d34-4e5d-bf4f-5900285c1fd8	5604e9ee-e520-47b3-b783-e02dde552ea2.FPKM-UQ.txt.gz	417488	fc6dd882bd79f51bd39e336a4223bf4b	C3L-07036
194c7526-4933-47bf-989c-645c4cca69dc	5604e9ee-e520-47b3-b783-e02dde552ea2.FPKM.txt.gz	317345	493d583b5a167ceba0e939024b33bacf	C3L-07036
5ce85bc6-decd-4b05-9d77-8d0566303d9c	5604e9ee-e520-47b3-b783-e02dde552ea2.htseq_counts.txt.gz	248447	da6a8c9196288d274597164d3321e02d	C3L-07036
e7d89641-e35a-4485-9769-ab355ae6598b	5d446ce9-7572-43c4-9be0-defc29dd7d6b.rna_seq.chimeric.gdc_realn.bam	95588020	985c0855184b3f08fdc1c03f2687c73f	C3L-07033
cf8ec0e0-3302-42ab-8dc6-116c10eed835	5d446ce9-7572-43c4-9be0-defc29dd7d6b.rna_seq.genomic.gdc_realn.bam	10282231536	85432c491f60699a8c246b15f920e772	C3L-07033
f6b024a9-e196-454b-ba09-66e757132afc	5d446ce9-7572-43c4-9be0-defc29dd7d6b.rna_seq.star_gene_counts.tsv.gz	421130	3b662d10030da24e83811538822cbe77	C3L-07033
0b4b1c6e-9624-4f67-a240-c6fbc6d25cb4	5d446ce9-7572-43c4-9be0-defc29dd7d6b.rna_seq.star_splice_junctions.tsv.gz	2989806	18f904e5c795895b6eb948567e091135	C3L-07033
1c86d34c-b942-4609-abb6-e1dc5fc813c8	5d446ce9-7572-43c4-9be0-defc29dd7d6b.rna_seq.transcriptome.gdc_realn.bam	10262751426	60c145ad2cba9f8c2039d76f0ed491dc	C3L-07033
47a68f6e-5682-4d02-b85e-950dd2560b1f	842aa67b-623e-4595-8019-bcc44b4cb203.rna_seq.chimeric.gdc_realn.bam	204655296	aab1cc93c916ed1c60e537b0a3905200	C3L-03513
f8f72d45-2530-4d0f-98be-4b1790ed139a	842aa67b-623e-4595-8019-bcc44b4cb203.rna_seq.genomic.gdc_realn.bam	8448899163	2c4e41b9fe6f5acbd8ba851c284f4646	C3L-03513
85e96a99-02e6-452b-895f-0249ea43d7e0	842aa67b-623e-4595-8019-bcc44b4cb203.rna_seq.star_gene_counts.tsv.gz	429757	73a326218d812568eb9fecdbafddb426	C3L-03513
40554ffe-dab0-4b6d-859f-1e2cf0a0e647	842aa67b-623e-4595-8019-bcc44b4cb203.rna_seq.star_splice_junctions.tsv.gz	3245314	4e4630aadb97a7761c1bd584342cb4ff	C3L-03513
