current_aliquot_id	correct_aliquot_id
2642f7cb-3263-5b5d-ae8d-9c3aae3d499e	6a7d9058-3531-5cae-a143-6fa4e0cbefa0
9dee1023-20e1-5c84-92ac-358d1e113b1b	87524953-dfbb-57ae-a29d-d9da436ba770
6a7d9058-3531-5cae-a143-6fa4e0cbefa0	b72e1eb4-a0d4-5ccf-975c-356f8e61acb5
c3a7c126-3954-5273-bdc1-025bae9d608b	70c0e0f4-dec7-5d6c-bcc0-078cf51a03ee
d41a646e-edd9-5440-a106-23a18bad5fc8	6518e037-e044-5bdf-8336-63816449c73f
dc12713d-f4c7-5aca-a049-d6a9a58bdb4d	b6846ea7-a241-50db-9d16-07d37049ecdc
0451facc-e97f-55e3-a166-c6ce379b2d05	a3649f8e-83c0-5595-84b5-9295cfdab010
b6846ea7-a241-50db-9d16-07d37049ecdc	2a9b1baf-84fa-5dd2-bb0a-9ce9372373d2
f6642ab2-9db3-5606-8487-25da917a06eb	1501ff31-ade6-532e-9720-32704cf36512
4b3e7f04-a5e3-52d3-bbba-da6e8bec0494	f4fb3dfc-6622-51e0-99d6-950ae3b9c3e6
fc85f73f-e8c9-51a2-82c9-4fca53172f31	02e457e4-408a-50ca-90f0-e7cab928aa8d
93e42057-8699-539d-9c05-3ebc6c9dbc87	2b2cfe0c-52c0-5d1f-a97b-784078343f84
ee16ead7-df94-5ea2-b298-a7003c5a3612	d17ec10d-b97d-587b-a07c-59fb74860294
559d61f2-18d0-5653-bc35-ddc6095fe1b9	7629ad1a-cb6e-572b-b6a7-02b874bf785b
4119296d-d9c4-501b-8eaa-b0a6f6263a6e	82894ca3-3c31-5b14-a626-076a6d408002
c732484c-b50c-5869-9c44-287a25004951	f87b482f-a462-5803-8199-7ba91fcc5cd0
a3649f8e-83c0-5595-84b5-9295cfdab010	b3054bf3-4d49-53a1-a77c-f22965f9d4fb
5698c72b-45d7-55fc-a52d-8082f26471ac	092c8f95-e86b-55bd-ae48-680023bd6792
54438829-40b9-535d-9eb8-70df3f08d7e2	7c5d9570-99f4-52a2-a14e-02e2eaf56ac6
87524953-dfbb-57ae-a29d-d9da436ba770	3f7439bd-7bf7-54ee-bcf8-91182ca29f33
cb780444-1ce8-555d-b973-b2f90eea647e	066d3084-a3fc-52ee-84c8-0d1156c026e6
7371a311-bf69-514a-a394-e92c281694ed	3ee3ec0b-5664-5ae2-bacf-12738e7ddc30
d0cf351c-7617-5e85-9d46-f534bd311c37	b6875f23-aa45-522b-b855-50ea4f4da91b
066d3084-a3fc-52ee-84c8-0d1156c026e6	cf6d73d0-6e29-5a8c-8258-d50339e6a4fd
