id	filename	md5	size
1183ffba-db7d-4500-a6d3-ec0d6a2743f8	TARGET.NBL.somaticsniper.adb9b34a-1569-460b-bf4f-445f2cae8aa0.DR-10.0.protected.maf.gz	b42bd212667c20ed60d5b397ce3be636	56900458
1bb203d5-5d1e-4d06-ab5c-1a6268b6a165	TARGET.WT.muse.b6d4ff24-d9c1-4d4b-bb15-1e7906bff012.DR-10.0.protected.maf.gz	f8feca05891bb5f8fe31e6f32ad4bb2f	3515260
2b8a7c04-e4a6-4b1f-b72e-73edc3c6aaad	TARGET.NBL.mutect.e340b302-73f0-4bc9-827a-e599f812a764.DR-10.0.protected.maf.gz	cfe0c4ee8d2912d45f05d621c52de57f	322809850
33d2037d-2d4f-452b-98f6-e578a72ebb16	TARGET.WT.varscan.8c8bd4e8-277a-44aa-896b-19402b8224c4.DR-10.0.protected.maf.gz	c8d8ec9edf0ede7b4a0a59b20d672554	8339966
53c3eed7-7f14-4898-af82-0ee85f5f5c5e	TARGET.NBL.muse.8ed4474e-b5c2-4dfb-8ee8-fd943e4d5d19.DR-10.0.protected.maf.gz	2954acf704d4fda74b50742224c97427	13277550
6e4e70b7-7367-4844-84fe-d494557923b8	TARGET.AML.somaticsniper.ad0b04dd-9cae-45c6-8775-5ea631ab4639.DR-10.0.protected.maf.gz	e43bcb4385fc5ce198c0c804c3adb1a4	11832501
7295b8e0-207d-44d2-acb5-41a57b975e89	TARGET.NBL.varscan.e93e8709-c5a7-425f-b5aa-dd2dcc229241.DR-10.0.protected.maf.gz	9c41666ed86236c603377ff994df1d29	57899036
c7d14f2b-55fc-4b95-968d-2b7a357111c2	TARGET.WT.mutect.77a8f02b-4602-409b-bbfa-b960d93310f6.DR-10.0.protected.maf.gz	e4dfde638423b849992ab5c68c07df23	61232854
ce31f4c0-bbca-41d2-ae5c-1fe04a2cbc54	TARGET.WT.somaticsniper.b613163f-fdb6-456c-9b11-e6087dddda20.DR-10.0.protected.maf.gz	846fda34f38cef45670b0a8dbf3df99d	22063446
ce5cb21e-8432-4f41-ac2c-efa01400d574	TARGET.AML.mutect.a058a35a-2382-46bd-9a7b-bcb72bd70473.DR-10.0.protected.maf.gz	1b5082d499d0cd1fcf7aada4be8a718b	34937119
d29f1c96-602a-4734-becd-f0a3a65fef49	TARGET.AML.muse.5c543196-00d8-4ef2-9b34-f89d7c9be518.DR-10.0.protected.maf.gz	0c621de9097c01fcc5dba0bfa041e423	3079094
d3d844d9-e533-42ed-b9e0-ab95b69dcc10	TARGET.AML.varscan.6205d922-205d-45fa-84c9-df2529fffde2.DR-10.0.protected.maf.gz	f29666ef72b78029a0f2bf2acc1d1245	2788928
