id	filename	md5	size	project_id	case_ids	aliquot_ids	data_category	data_type	experimental_strategy	workflow_type	new_id	new_md5	new_size
20ccc652-658e-42d0-ad12-595950cb991c	07aaf5cd-83c5-4784-b7a7-324d056e7019.FPKM-UQ.txt.gz	d0ab4ef7b2941aa843d56060bfa897c7	394899	ORGANOID-PANCREATIC	8e86e075-f718-4173-9d1e-a6c47fce1528	5f3340c2-8fe9-4dd0-9746-66709ea3fe93	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
cf5bc137-04d8-4d56-91f9-ab5c5b6bff2f	bf13bb79-70b4-4e50-aa11-b07933398cc1.htseq_counts.txt.gz	16d457d49b86a7e25dd69852d87a634f	245714	ORGANOID-PANCREATIC	eee1adb4-f965-43a2-8037-ff706c37e0cc	5703fb05-a854-462d-92c3-05aeea489f8a	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
2a4f230d-9548-4cdf-b2a0-5c098eb61cb3	30520ecd-c6bd-4039-9b1a-d3f999235598.FPKM.txt.gz	ffe5bfef3be910973828b86f2575e489	305291	ORGANOID-PANCREATIC	b6a1561a-97ee-4f64-b417-391ccc08f707	f2eb0b94-416f-453f-8aa0-f62953d5edfb	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
90405973-2e1a-473e-9095-ff8c046c1f26	ab82d4af-1327-4e2b-81e6-06ba12ee9e80.FPKM-UQ.txt.gz	7cf18cf8ab3998d91a0f43ce8823ee50	379162	ORGANOID-PANCREATIC	c9d50190-5241-4021-b885-b4e983ba3a4b	d7e7a2a2-0999-4ddd-9319-1181ae7cddd2	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
d1a9fd78-3894-40f7-994e-9f7b97007683	a6707dd6-9c95-4950-a984-67b5c1b41598.htseq_counts.txt.gz	d22ae8da66eaa2a9d16cd52a3815f7a1	247021	ORGANOID-PANCREATIC	ceaa6c9a-bf8d-46a5-83eb-5925fce73b09	1fde7c44-118a-48ac-811a-11b8dd2f0dcb	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
7f44d141-6937-4f80-a767-59febf38f54b	8a84b3e2-92a0-4c2b-986b-0efa8a22a8f3.htseq_counts.txt.gz	79115bcdd1705362ef9ec99938960ad1	246306	ORGANOID-PANCREATIC	d277d0dd-4be9-484f-ba57-2d9ac16c6736	dac03cc4-5ca5-4eed-bbd2-01faea9b5f19	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
fcbfa230-dab5-421e-8542-61dcda41d196	38b05dca-6d3f-4999-aded-0870bfd8f7e7.htseq_counts.txt.gz	5b0030bed0eda9f16a21532dae514a7c	246757	ORGANOID-PANCREATIC	d7ac181d-ce1b-4672-953e-aeff29615636	1fc64da5-73e3-4464-ba47-3f17cd2ee6b3	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
ed1595f9-f934-4971-91ff-fc4f385416ec	d4f8538e-93d1-40ba-9c89-ad59ab96c1f7.FPKM.txt.gz	d7aea2b5867e97f0447674cd074f8a65	304095	ORGANOID-PANCREATIC	5cba90b4-5473-4826-a945-c50f2663e252	40c65730-04ae-4ad3-b2ce-112e95485088	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
b388c650-c413-443a-82a0-ea675f81b867	8236bc9d-2156-4991-a5eb-223e02229b3a.FPKM-UQ.txt.gz	0dcf4dfa806d157e433b3c41e7831012	386204	ORGANOID-PANCREATIC	eee1adb4-f965-43a2-8037-ff706c37e0cc	b5a15814-5ca3-4a64-a335-7e2c1132e100	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
cb6910fd-9a97-45af-9dfa-0cd167a5fafa	f7b2476f-2087-4e10-8571-bd8e1fcbb835.FPKM.txt.gz	b29c6f9c1da5b2dcdfd049e229b7b4ee	300380	ORGANOID-PANCREATIC	eee1adb4-f965-43a2-8037-ff706c37e0cc	349a950b-e382-4426-9144-40e94d1340de	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
1bcf0b95-4954-4f7c-969f-bed1ff72a319	6b2583f1-bbea-4020-ad73-8a59589b8cc3.FPKM.txt.gz	f18ebb96fa5bff7c79c6a93055764262	309827	ORGANOID-PANCREATIC	490344a3-9367-42cb-b109-8562eed90bdf	d4c96a44-7241-4b51-93a2-ec8d72e2a835	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
12e8139a-5bfd-4d92-b01d-3ca52017023e	425fe9f4-851a-435c-84ab-bafbb5c55022.htseq_counts.txt.gz	5f6c0ddfc3a70b8fc3ec182df5587a7a	246851	ORGANOID-PANCREATIC	5d324f9f-87ce-454d-bfcd-2d7e38d52e92	29dbc70a-abbf-429e-9dc8-ea88ea75b482	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
84b13092-d0a2-469f-a8bc-efbb7aa621fd	9618c27d-d2ee-4e70-b713-412513b761bd.FPKM.txt.gz	1a80a866a90782d58b2727a1c0d83d48	302743	ORGANOID-PANCREATIC	ece88485-dae8-4f8e-b922-e2c6f8bffd7c	a91f8c51-3811-47af-bf6b-ae3d144145a8	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
098dc1b1-b0dd-447d-9383-965eb8443cbc	d8ab768a-388e-4dfe-afad-88d83c2329c4.htseq_counts.txt.gz	27ddabc7ba78ac3a0581e5279e675525	249373	ORGANOID-PANCREATIC	ad6f1cc8-b339-454e-ba88-bf4b1a5f27c9	52128aa5-e913-457d-82f0-1e17768b90b9	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
47644742-5d2f-44ac-9a24-0bbd67218b21	dec5e5a1-09c1-404c-8f50-ff351412dc31.FPKM-UQ.txt.gz	4971551b5442c42838a70d2d1099d54b	395262	ORGANOID-PANCREATIC	c6f03bd6-e8e1-4e41-a2ec-464188a3277f	1bdd8035-5e89-4e56-ba28-bdfbdd9f803c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
1ef7cd05-c0fc-4c3e-b81e-ab120219f19e	26345bdf-1219-4668-b714-5b983a2694ff.htseq_counts.txt.gz	f047f39a63f3cf48d9817a07980be21a	246087	ORGANOID-PANCREATIC	e3fcb486-9525-40b1-bd3e-802bc8ae770c	b570dfbd-893b-4876-a5b5-34584de9318f	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
c8bfd3c9-9b79-46cb-b9e8-c203242e6e6e	719f7392-0c7b-4529-99c3-b3db6c42b382.htseq_counts.txt.gz	3a02b32e1d5b4c293cbe49355ea92893	243992	ORGANOID-PANCREATIC	11f1276f-d829-43ff-b519-81e994e2e4fe	35d74c85-e3da-4a2f-b894-f0c65d1960d8	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
99b17412-3714-4c4b-81c7-65ded4dd7dbf	c5b00790-f1c8-46ee-bbdc-48fe1cab3e24.FPKM-UQ.txt.gz	06a5cd29cd4c7488f750a96035f7cd56	390611	ORGANOID-PANCREATIC	fc689cd4-44a8-4160-afb4-242bde29ec18	26663d5d-51bd-4f24-b4c1-ab126c59a535	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
d7391cb5-f612-4e6b-859e-e9d3b299ab66	719f7392-0c7b-4529-99c3-b3db6c42b382.FPKM-UQ.txt.gz	77eccc487f182f9714acd41906cd4712	381705	ORGANOID-PANCREATIC	11f1276f-d829-43ff-b519-81e994e2e4fe	35d74c85-e3da-4a2f-b894-f0c65d1960d8	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
79d49056-d95a-4a71-ad16-179528d65b06	044f8701-5e9f-4300-beb2-41fef8096685.FPKM-UQ.txt.gz	af038c2af9777a3cdf103569a3d9589c	393517	ORGANOID-PANCREATIC	5ff50c23-54c5-4296-a164-1160cfa629c4	eba3997a-0bc2-4b7d-9767-e6f729062dcd	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
af016264-1cdd-4460-947c-af3f4ece0c2d	40c3d223-a76c-4433-a18a-ca45d03072fa.htseq_counts.txt.gz	18e0e78e62ca09aca54962579ee9aee0	245378	ORGANOID-PANCREATIC	08f63445-b236-4f97-b76a-2e5f4b3c5ff5	f31e9cd6-1222-416c-ba93-65f5f8a9d883	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - Counts	NA	NA	NA
3748347d-d9ba-4f75-9165-7df76badc7b5	f888eea4-4fda-4f9f-a8cb-66e8219ce268.FPKM-UQ.txt.gz	a9e10850a1e38015362ec4d639a3f9bf	380268	ORGANOID-PANCREATIC	fdd01339-fd45-47e6-9d68-b2ab126d5ee9	bcde3cce-eaf9-4cf5-ad19-cb65746c5198	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
357d4902-ba96-4ac6-8063-7d57e39cf22e	dec5e5a1-09c1-404c-8f50-ff351412dc31.FPKM.txt.gz	d5cc7fb53c94723306b215535485ad01	310215	ORGANOID-PANCREATIC	c6f03bd6-e8e1-4e41-a2ec-464188a3277f	1bdd8035-5e89-4e56-ba28-bdfbdd9f803c	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM	NA	NA	NA
c95ebcda-9878-47f7-b5d3-df7789479dda	1efaf04d-28f9-4429-85eb-a786adee5500.FPKM-UQ.txt.gz	0a65f71162ae95f125a4909cefc2a489	383865	ORGANOID-PANCREATIC	4d8466c3-dcb1-491b-9856-b68cf8226648	c17276be-9ec5-4d7f-941e-da3187d29db8	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
72f18ce2-a155-4715-a1df-d736092946ea	84bba63e-1ed1-4832-9559-d7752cc741b2.FPKM-UQ.txt.gz	e78e84e285b7914ae3d62af79a42c593	385327	ORGANOID-PANCREATIC	d7f95afc-d9d9-497e-b7ba-cdaec4d300b4	5165a00c-39a6-4c95-8b1d-9609e9069ad0	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq	HTSeq - FPKM-UQ	NA	NA	NA
